@relation data

@attribute MainActorName {"Amateur", "Star", "Super Star"}
@attribute SecondActorName {"Amateur", "Star", "Super Star"}
@attribute DirectorName {"Amateur", "Star", "Super Star"}
@attribute Genre1 {Action, Adventure, Animation, Comedy, Drama, Biography, Crime, Fantasy, Horror, Romance, Mystery, Family, Documentary}
@attribute Genre2 {Adventure, Animation, Family, Crime, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Romance, History, Musical, Music, Biography, Thriller, War, Documentary}
@attribute Genre3 {Fantasy, Sci-Fi, Romance, Comedy, Western, Family, Drama, Thriller, Horror, Crime, Animation, History, Mystery, Sport, War, Biography, Musical, Music, Documentary, Film-Noir}
@attribute CountryOfOrigin {"USA", "UK", "New Zealand", "Canada", "Germany", "Australia", "China", "France", "Japan", "Spain", "Hong Kong", "Czech Republic", "Peru", "South Korea", "India", "Aruba", "Denmark", "Belgium", "South Africa", "Romania", "Chile", "Italy", "Netherlands", "Hungary", "Russia", "Greece", "Ireland", "Taiwan", "Iran", "West Germany", "Georgia", "Mexico", "Iceland", "Thailand", "Brazil", "Norway", "Argentina", "Poland", "Israel", "Indonesia", "Sweden"}
@attribute Budget REAL
@attribute Result {Success, Fail}

@data
"Star", "Amateur", "Super Star", "Action", "Adventure", "Fantasy", "USA", 237000000, "Success"
"Super Star", "Star", "Star", "Action", "Adventure", "Fantasy", "USA", 300000000, "Fail"
"Amateur", "Amateur", "Star", "Action", "Adventure", "Sci-Fi", "USA", 263700000, "Fail"
"Super Star", "Super Star", "Star", "Adventure", "Family", "Fantasy", "UK", 250000000, "Success"
"Super Star", "Star", "Super Star", "Action", "Adventure", "Sci-Fi", "USA", 250000000, "Success"
"Super Star", "Star", "Star", "Action", "Adventure", "Fantasy", "USA", 225000000, "Success"
"Super Star", "Star", "Star", "Action", "Adventure", "Western", "USA", 215000000, "Fail"
"Super Star", "Star", "Super Star", "Action", "Adventure", "Fantasy", "USA", 225000000, "Success"
"Super Star", "Amateur", "Amateur", "Action", "Adventure", "Family", "USA", 225000000, "Fail"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Fantasy", "USA", 250000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Comedy", "USA", 225000000, "Fail"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Fantasy", "USA", 230000000, "Fail"
"Super Star", "Super Star", "Star", "Adventure", "Family", "Fantasy", "USA", 180000000, "Fail"
"Super Star", "Super Star", "Amateur", "Action", "Adventure", "Sci-Fi", "USA", 250000000, "Success"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Sci-Fi", "USA", 209000000, "Fail"
"Star", "Star", "Star", "Action", "Adventure", "Sci-Fi", "USA", 150000000, "Success"
"Super Star", "Star", "Star", "Action", "Adventure", "Sci-Fi", "USA", 200000000, "Success"
